data,estado,regiao,consumo_diario,pred,doubl_days,smth_date,mobility,smth_mob,activity,ma_consumo,ma_pred,dif_baseline,ma_dif_baseline,PET_Phase,consumo_diario_acl,pred_acl,ma_consumo_acl,ma_pred_acl,dif_baseline_acl,ma_dif_baseline_acl
2019-09-27,Brasil,NA,63242.99149333433,66558.46171921279,NA,NA,NA,NA,NA,61827.57955631719,64211.1535568538,-0.03712087181903915,-0.006929582417192882,NA,20233.764806708332,20756.895099805217,19276.32986015648,19850.537040108637,-0.028926531246583124,-0.026731735687890095
2019-09-28,Brasil,NA,58525.127921753,61350.46971732179,NA,NA,NA,NA,NA,61464.98439387805,64213.48287274672,-0.04280251367637901,-0.015566108708837746,NA,18674.879044377998,19168.09900519319,19301.009525901904,19851.707117893897,-0.02774056602394695,-0.027644719006981875
2019-09-29,Brasil,NA,53158.28510654467,56134.8695247504,NA,NA,NA,NA,NA,61256.71826527886,64215.81218863963,-0.04608045623822636,-0.024176951389245013,NA,16080.345355877667,16815.370882950192,19303.104184576143,19852.87719567915,-0.02769235943406034,-0.028271364010817805
2019-09-30,Brasil,NA,63167.749065867,65154.204676090754,NA,NA,NA,NA,NA,61327.34640368786,64218.14150453255,-0.045015240757795165,-0.03126001136856683,NA,19486.765835535,20034.30831587711,19310.21231614029,19854.047273464406,-0.02739164210870854,-0.02834962323426696
2019-10-01,Brasil,NA,66316.30681487167,66794.41412849579,NA,NA,NA,NA,NA,61631.55221916381,64248.76906958179,-0.04073567304586829,-0.036376733777181064,NA,20340.631914790665,20447.54179896205,19333.687305807096,19820.27465844625,-0.024549980311791484,-0.027801545663141136
2019-10-02,Brasil,NA,67507.72240057633,67116.34277039427,NA,NA,NA,NA,NA,62160.24609954557,64279.39714029059,-0.03296781138317065,-0.038844845985194956,NA,20632.343290285335,20520.07975062851,19394.506860534,19786.502549087654,-0.019811267179794263,-0.026479018416651956
2019-10-03,Brasil,NA,67038.48363751033,66987.99784461228,NA,NA,NA,NA,NA,62708.09520577962,64299.5371972683,-0.02475044239597253,-0.03849614418806445,NA,20544.03454501233,20517.34556498827,19427.53782751248,19751.37720262922,-0.01639578707826177,-0.02464401905473521
2019-10-04,Brasil,NA,66908.56359733433,66772.80721731044,NA,NA,NA,NA,NA,63231.748363493905,64330.15798271082,-0.017074567413811133,-0.03563238641588902,NA,20657.17510187633,20520.43933743112,19488.025012536476,19717.59780800435,-0.011643040785357649,-0.022174948988845856
2019-10-05,Brasil,NA,61709.501214745,61536.569170337956,NA,NA,NA,NA,NA,63686.658833921334,64356.74361885599,-0.010412036831806457,-0.03100517543809294,NA,18937.894435577,18930.250982871952,19525.59863985062,19683.619519101314,-0.008028039715833091,-0.01935887380197245
2019-10-06,Brasil,NA,55227.455255826,56349.21605699226,NA,NA,NA,NA,NA,63982.25456953295,64387.364552033396,-0.00629176213871994,-0.025321076281020594,NA,16215.674628870998,16578.916154720304,19544.93139313538,19649.84027221133,-0.005338917651372151,-0.016165524975874136
